,NAME,Biden,Trump,Trump_mean,Biden_mean,Trump_std,Biden_std
0,Alabama,38.73428394386362,58.63257426278381,57.222149196956885,38.851961272345896,2.877087469390439,1.6921183896350123
1,Alaska,43.659583158362516,53.12094962532168,52.51441154524488,43.76187864604531,2.7966674855841607,1.4637709462801192
2,Arizona,49.00833431918767,45.28453115324132,44.88889248583575,48.13487146932054,1.4021021577265653,1.6820852639221304
3,Arkansas,38.151529039080906,61.17465987715791,61.25601187134032,36.60813828507259,4.103225293644067,3.144939755222922
4,California,60.878166701377516,31.771230085090078,31.96666789032803,62.061521749250446,2.774048282565317,2.4207832257500956
5,Colorado,53.62944965203559,41.21304926702798,40.664661426536426,53.77622368846726,0.8888193046407109,2.496332830201854
6,Connecticut,61.22363690410071,35.91825689579695,35.598043345543395,61.982378755790656,1.2654651691802088,1.1895448948872267
7,Delaware,62.953366913591644,30.673053677165125,33.20889460002366,63.07469287880588,1.8829033242708462,3.2314325459651467
8,District of Columbia,86.68657799682431,11.108165801106903,11.627073535783207,86.20780131159164,2.475572484378473,2.158069789419962
9,Florida,48.83241578166869,44.004394975148074,44.99641564518733,48.76512518679558,2.1121415327030144,0.8528622530195147
10,Georgia,46.722999293901495,46.747330816761085,46.3968702176511,47.02443979769974,0.7884683057808779,1.3436562472584905
11,Hawaii,62.25215164481123,35.8448408151946,33.752956857956875,61.8336457061457,2.8485526815886195,2.0175824909933495
12,Idaho,37.050217391194565,60.19101993832012,60.568187994800915,37.02888997203516,1.6458693301465017,1.8635952414776458
13,Illinois,58.49187734391941,37.98120818711738,37.88741905943519,58.81629455669777,0.8674133414828183,1.7279390004229591
14,Indiana,41.43633903010714,54.26320329883619,54.206154338493036,42.042607526881724,1.2315786890875764,1.6274256001172185
15,Iowa,45.62064124779322,47.764834145063084,47.98257842848997,46.26424320351207,1.7733723214322552,1.3453102457420567
16,Kansas,44.39527607992253,50.60756818610132,51.255563203224504,44.23425026586319,1.3794222224763535,2.2820028801191006
17,Kentucky,39.233845743015664,57.155850363246,56.94703823953825,38.999210858585855,1.9510044654964283,1.4498825716406754
18,Louisiana,40.62613706584427,54.312851034946156,54.99088171134079,40.26286051348705,2.28925272318129,1.178780944821757
19,Maine,53.288371385794484,39.87831462502469,39.913781439657896,53.56775005666828,1.8602861589429056,2.839979145985163
20,Maine CD-1,58.58313580043139,33.34426727550195,33.64643128654974,56.12969465329992,1.3008879650719831,2.9945770975953265
21,Maine CD-2,43.078470610866326,43.25936633974397,44.137624895572266,45.49999498746867,2.1344634787931165,2.8867157170257274
22,Maryland,65.7981786635314,31.728574548925362,31.067054372426544,65.11357353426834,0.7748105492471884,1.3168814541347735
23,Massachusetts,63.5941377291702,27.7241377822722,28.364782254782245,65.92538868538871,2.318038402264963,3.1533840439344014
